-0.00,0.03,-127.26
0.02,0.02,-127.26
0.01,0.04,-127.26
0.01,0.06,-127.26
-0.01,0.05,-127.25
-0.01,0.05,-127.25
-0.01,0.04,-127.25
-0.01,0.04,-127.25
-0.00,0.04,-127.25
-0.00,0.04,-127.25
-0.01,0.01,-127.25
-0.01,0.01,-127.25
-0.03,0.01,-127.25
-0.03,0.03,-127.25
-0.03,0.03,-127.25
-0.03,0.05,-127.24
-0.02,0.06,-127.25
-0.04,0.08,-127.24
-0.04,0.07,-127.24
-0.04,0.08,-127.23
-0.03,0.07,-127.23
-0.01,0.09,-127.23
-0.01,0.08,-127.23
-0.01,0.10,-127.22
-0.01,0.09,-127.22
0.02,0.08,-127.22
0.02,0.07,-127.22
-0.00,0.06,-127.22
-0.00,0.06,-127.22
0.02,0.05,-127.22
0.02,0.05,-127.22
0.04,0.02,-127.22
0.06,0.02,-127.23
0.06,0.02,-127.23
0.03,0.04,-127.24
0.03,0.06,-127.24
0.02,0.05,-127.24
0.02,0.03,-127.25
0.05,0.02,-127.25
0.02,0.05,-127.26
0.02,0.04,-127.26
0.02,0.04,-127.26
0.02,0.04,-127.25
0.01,0.03,-127.25
0.02,0.01,-127.25
0.01,0.01,-127.25
0.01,0.01,-127.25
0.01,0.03,-127.24
0.00,0.00,-127.24
0.00,0.03,-127.24
0.00,0.05,-127.24
-0.00,0.04,-127.24
0.00,0.04,-127.25
0.00,0.03,-127.25
0.01,0.03,-127.25
0.01,0.03,-127.26
-0.02,0.02,-127.26
-0.01,0.04,-127.26
-0.03,0.06,-127.25
-0.03,0.06,-127.25
-0.03,0.05,-127.24
-0.03,0.04,-127.24
-0.02,0.04,-127.24
-0.01,0.04,-127.24
-0.03,0.05,-127.24
-0.02,0.05,-127.25
-0.02,0.05,-127.26
0.01,0.07,-127.26
-0.02,0.06,-127.27
-0.01,0.06,-127.28
-0.01,0.03,-127.29
-0.01,0.03,-127.29
0.01,0.03,-127.29
0.02,0.02,-127.30
0.01,0.02,-127.30
0.01,-0.00,-127.29
0.03,0.00,-127.29
0.03,0.00,-127.29
0.02,0.00,-127.28
0.02,0.01,-127.28
0.02,0.03,-127.28
0.03,0.03,-127.28
0.02,0.03,-127.28
0.02,0.05,-127.28
0.02,0.06,-127.28
0.02,0.06,-127.28
0.03,0.05,-127.28
0.02,0.05,-127.28
0.02,0.05,-127.27
0.02,0.02,-127.27
0.02,0.03,-127.27
0.02,0.00,-127.28
-0.01,0.01,-127.28
-0.01,0.03,-127.27
-0.01,0.03,-127.27
-0.03,0.00,-127.27
-0.05,0.03,-127.26
-0.04,0.02,-127.26
-0.04,0.04,-127.26
-0.04,0.04,-127.26
-0.03,0.03,-127.26
-0.03,0.03,-127.26
-0.00,0.03,-127.26
-0.00,0.03,-127.26
-0.01,0.01,-127.26
0.02,0.00,-127.25
0.01,0.00,-127.25
0.01,0.03,-127.25
0.01,0.00,-127.25
-0.02,0.03,-127.25
-0.02,0.00,-127.25
-0.01,-0.00,-127.25
-0.01,0.02,-127.25
-0.01,0.02,-127.25
0.01,0.02,-127.25
0.01,0.02,-127.26
0.02,0.02,-127.26
0.02,0.04,-127.26
0.02,0.03,-127.26
0.01,0.06,-127.27
0.01,0.07,-127.28
0.01,0.09,-127.28
0.02,0.07,-127.28
-0.00,0.07,-127.28
0.02,0.04,-127.28
-0.01,0.04,-127.28
-0.01,0.03,-127.28
-0.01,0.03,-127.28
-0.03,0.05,-127.28
-0.03,0.03,-127.28
-0.05,0.05,-127.28
-0.05,0.04,-127.27
-0.05,0.04,-127.27
-0.04,0.04,-127.27
-0.06,0.04,-127.27
-0.07,0.03,-127.27
-0.07,0.03,-127.27
-0.05,0.02,-127.27
-0.05,0.02,-127.27
-0.05,0.02,-127.27
-0.04,0.02,-127.27
-0.03,0.04,-127.27
-0.03,0.04,-127.27
-0.03,0.06,-127.26
-0.03,0.05,-127.26
-0.03,0.05,-127.26
-0.02,0.04,-127.26
-0.02,0.05,-127.26
-0.02,0.07,-127.26
-0.02,0.06,-127.26
-0.01,0.08,-127.26
-0.01,0.07,-127.26
-0.01,0.07,-127.26
-0.01,0.08,-127.26
-0.01,0.08,-127.26
-0.01,0.09,-127.26
-0.01,0.10,-127.26
-0.01,0.08,-127.26
-0.01,0.07,-127.26
-0.00,0.09,-127.27
-0.00,0.08,-127.27
